"time","y1"
0,0
0.001,0
0.002,0
0.003,0
0.004,0
0.005,0
0.006,0
0.007,0
0.008,0
0.009,0
0.01,0
0.011,0
0.012,0
0.013,0
0.014,0
0.015,0
0.016,0
0.017,0
0.018,0
0.019,0
0.02,0
0.021,0
0.022,0
0.023,0
0.024,0
0.025,0
0.026,0
0.027,0
0.028,0
0.029,0
0.03,0
0.031,0
0.032,0
0.033,0
0.034,0
0.035,0
0.036,0
0.037,0
0.038,0
0.039,0
0.04,0
0.041,0
0.042,0
0.043,0
0.044,0
0.045,0
0.046,0
0.047,0
0.048,0
0.049,0
0.05,0
0.051,0
0.052,0
0.053,0
0.054,0
0.055,0
0.056,0
0.057,0
0.058,0
0.059,0
0.06,0
0.061,0
0.062,0
0.063,0
0.064,0
0.065,0
0.066,0
0.067,0
0.068,0
0.069,0
0.07,0
0.071,0
0.072,0
0.073,0
0.074,0
0.075,0
0.076,0
0.077,0
0.078,0
0.079,0
0.08,0
0.081,0
0.082,0
0.083,0
0.084,0
0.085,0
0.086,0
0.087,0
0.088,0
0.089,0
0.09,0
0.091,0
0.092,0
0.093,0
0.094,0
0.095,0
0.096,0
0.097,0
0.098,0
0.099,0
0.1,0
0.101,0
0.102,0
0.103,0
0.104,0
0.105,0
0.106,0
0.107,0
0.108,0
0.109,0
0.11,0
0.111,0
0.112,0
0.113,0
0.114,0
0.115,0
0.116,0
0.117,0
0.118,0
0.119,0
0.12,0
0.121,0
0.122,0
0.123,0
0.124,0
0.125,0
0.126,0
0.127,0
0.128,0
0.129,0
0.13,0
0.131,0
0.132,0
0.133,0
0.134,0
0.135,0
0.136,0
0.137,0
0.138,0
0.139,0
0.14,0
0.141,0
0.142,0
0.143,0
0.144,0
0.145,0
0.146,0
0.147,0
0.148,0
0.149,0
0.15,0
0.151,0
0.152,0
0.153,0
0.154,0
0.155,0
0.156,0
0.157,0
0.158,0
0.159,0
0.16,0
0.161,0
0.162,0
0.163,0
0.164,0
0.165,0
0.166,0
0.167,0
0.168,0
0.169,0
0.17,0
0.171,0
0.172,0
0.173,0
0.174,0
0.175,0
0.176,0
0.177,0
0.178,0
0.179,0
0.18,0
0.181,0
0.182,0
0.183,0
0.184,0
0.185,0
0.186,0
0.187,0
0.188,0
0.189,0
0.19,0
0.191,0
0.192,0
0.193,0
0.194,0
0.195,0
0.196,0
0.197,0
0.198,0
0.199,0
0.2,0
0.201,0
0.202,0.01
0.203,0.0199
0.204,0.029701
0.205,0.039404
0.206,0.04901
0.207,0.0585199
0.208,0.0679347
0.209,0.0772553
0.21,0.0864828
0.211,0.0956179
0.212,0.104662
0.213,0.113615
0.214,0.122479
0.215,0.131254
0.216,0.139942
0.217,0.148542
0.218,0.157057
0.219,0.165486
0.22,0.173831
0.221,0.182093
0.222,0.190272
0.223,0.198369
0.224,0.206386
0.225,0.214322
0.226,0.222179
0.227,0.229957
0.228,0.237657
0.229,0.245281
0.23,0.252828
0.231,0.2603
0.232,0.267697
0.233,0.27502
0.234,0.282269
0.235,0.289447
0.236,0.296552
0.237,0.303587
0.238,0.310551
0.239,0.317445
0.24,0.324271
0.241,0.331028
0.242,0.337718
0.243,0.344341
0.244,0.350897
0.245,0.357388
0.246,0.363815
0.247,0.370176
0.248,0.376475
0.249,0.38271
0.25,0.388883
0.251,0.394994
0.252,0.401044
0.253,0.407034
0.254,0.412963
0.255,0.418834
0.256,0.424645
0.257,0.430399
0.258,0.436095
0.259,0.441734
0.26,0.447317
0.261,0.452843
0.262,0.458315
0.263,0.463732
0.264,0.469094
0.265,0.474404
0.266,0.479659
0.267,0.484863
0.268,0.490014
0.269,0.495114
0.27,0.500163
0.271,0.505161
0.272,0.51011
0.273,0.515009
0.274,0.519859
0.275,0.52466
0.276,0.529413
0.277,0.534119
0.278,0.538778
0.279,0.54339
0.28,0.547956
0.281,0.552477
0.282,0.556952
0.283,0.561382
0.284,0.565769
0.285,0.570111
0.286,0.57441
0.287,0.578666
0.288,0.582879
0.289,0.58705
0.29,0.59118
0.291,0.595268
0.292,0.599315
0.293,0.603322
0.294,0.607289
0.295,0.611216
0.296,0.615104
0.297,0.618953
0.298,0.622763
0.299,0.626536
0.3,0.63027
0.301,0.633968
0.302,0.637628
0.303,0.641252
0.304,0.644839
0.305,0.648391
0.306,0.651907
0.307,0.655388
0.308,0.658834
0.309,0.662246
0.31,0.665623
0.311,0.668967
0.312,0.672277
0.313,0.675554
0.314,0.678799
0.315,0.682011
0.316,0.685191
0.317,0.688339
0.318,0.691456
0.319,0.694541
0.32,0.697596
0.321,0.70062
0.322,0.703613
0.323,0.706577
0.324,0.709512
0.325,0.712416
0.326,0.715292
0.327,0.718139
0.328,0.720958
0.329,0.723748
0.33,0.726511
0.331,0.729246
0.332,0.731953
0.333,0.734634
0.334,0.737287
0.335,0.739915
0.336,0.742515
0.337,0.74509
0.338,0.747639
0.339,0.750163
0.34,0.752661
0.341,0.755135
0.342,0.757583
0.343,0.760008
0.344,0.762407
0.345,0.764783
0.346,0.767136
0.347,0.769464
0.348,0.77177
0.349,0.774052
0.35,0.776311
0.351,0.778548
0.352,0.780763
0.353,0.782955
0.354,0.785126
0.355,0.787274
0.356,0.789402
0.357,0.791508
0.358,0.793592
0.359,0.795657
0.36,0.7977
0.361,0.799723
0.362,0.801726
0.363,0.803708
0.364,0.805671
0.365,0.807615
0.366,0.809539
0.367,0.811443
0.368,0.813329
0.369,0.815195
0.37,0.817043
0.371,0.818873
0.372,0.820684
0.373,0.822477
0.374,0.824253
0.375,0.82601
0.376,0.82775
0.377,0.829473
0.378,0.831178
0.379,0.832866
0.38,0.834537
0.381,0.836192
0.382,0.83783
0.383,0.839452
0.384,0.841057
0.385,0.842647
0.386,0.84422
0.387,0.845778
0.388,0.84732
0.389,0.848847
0.39,0.850359
0.391,0.851855
0.392,0.853336
0.393,0.854803
0.394,0.856255
0.395,0.857693
0.396,0.859116
0.397,0.860524
0.398,0.861919
0.399,0.8633
0.4,0.864667
0.401,0.86602
0.402,0.86736
0.403,0.868687
0.404,0.87
0.405,0.8713
0.406,0.872587
0.407,0.873861
0.408,0.875122
0.409,0.876371
0.41,0.877607
0.411,0.878831
0.412,0.880043
0.413,0.881242
0.414,0.88243
0.415,0.883606
0.416,0.88477
0.417,0.885922
0.418,0.887063
0.419,0.888192
0.42,0.88931
0.421,0.890417
0.422,0.891513
0.423,0.892598
0.424,0.893672
0.425,0.894735
0.426,0.895788
0.427,0.89683
0.428,0.897862
0.429,0.898883
0.43,0.899894
0.431,0.900895
0.432,0.901886
0.433,0.902867
0.434,0.903839
0.435,0.9048
0.436,0.905752
0.437,0.906695
0.438,0.907628
0.439,0.908552
0.44,0.909466
0.441,0.910371
0.442,0.911268
0.443,0.912155
0.444,0.913033
0.445,0.913903
0.446,0.914764
0.447,0.915616
0.448,0.91646
0.449,0.917296
0.45,0.918123
0.451,0.918941
0.452,0.919752
0.453,0.920555
0.454,0.921349
0.455,0.922136
0.456,0.922914
0.457,0.923685
0.458,0.924448
0.459,0.925204
0.46,0.925952
0.461,0.926692
0.462,0.927425
0.463,0.928151
0.464,0.928869
0.465,0.929581
0.466,0.930285
0.467,0.930982
0.468,0.931672
0.469,0.932356
0.47,0.933032
0.471,0.933702
0.472,0.934365
0.473,0.935021
0.474,0.935671
0.475,0.936314
0.476,0.936951
0.477,0.937581
0.478,0.938206
0.479,0.938824
0.48,0.939435
0.481,0.940041
0.482,0.940641
0.483,0.941234
0.484,0.941822
0.485,0.942404
0.486,0.94298
0.487,0.94355
0.488,0.944114
0.489,0.944673
0.49,0.945226
0.491,0.945774
0.492,0.946316
0.493,0.946853
0.494,0.947385
0.495,0.947911
0.496,0.948432
0.497,0.948947
0.498,0.949458
0.499,0.949963
0.5,0.950464
0.501,0.950959
0.502,0.95145
0.503,0.951935
0.504,0.952416
0.505,0.952892
0.506,0.953363
0.507,0.953829
0.508,0.954291
0.509,0.954748
0.51,0.9552
0.511,0.955648
0.512,0.956092
0.513,0.956531
0.514,0.956966
0.515,0.957396
0.516,0.957822
0.517,0.958244
0.518,0.958661
0.519,0.959075
0.52,0.959484
0.521,0.959889
0.522,0.96029
0.523,0.960687
0.524,0.96108
0.525,0.96147
0.526,0.961855
0.527,0.962236
0.528,0.962614
0.529,0.962988
0.53,0.963358
0.531,0.963724
0.532,0.964087
0.533,0.964446
0.534,0.964802
0.535,0.965154
