"time","y1"
0,0
0.001,0
0.002,0
0.003,0
0.004,0
0.005,0
0.006,0
0.007,0
0.008,0
0.009,0
0.01,0
0.011,0
0.012,0
0.013,0
0.014,0
0.015,0
0.016,0
0.017,0
0.018,0
0.019,0
0.02,0
0.021,0
0.022,0
0.023,0
0.024,0
0.025,0
0.026,0
0.027,0
0.028,0
0.029,0
0.03,0
0.031,0
0.032,0
0.033,0
0.034,0
0.035,0
0.036,0
0.037,0
0.038,0
0.039,0
0.04,0
0.041,0
0.042,0
0.043,0
0.044,0
0.045,0
0.046,0
0.047,0
0.048,0
0.049,0
0.05,0
0.051,0
0.052,0
0.053,0
0.054,0
0.055,0
0.056,0
0.057,0
0.058,0
0.059,0
0.06,0
0.061,0
0.062,0
0.063,0
0.064,0
0.065,0
0.066,0
0.067,0
0.068,0
0.069,0
0.07,0
0.071,0
0.072,0
0.073,0
0.074,0
0.075,0
0.076,0
0.077,0
0.078,0
0.079,0
0.08,0
0.081,0
0.082,0
0.083,0
0.084,0
0.085,0
0.086,0
0.087,0
0.088,0
0.089,0
0.09,0
0.091,0
0.092,0
0.093,0
0.094,0
0.095,0
0.096,0
0.097,0
0.098,0
0.099,0
0.1,0
0.101,0
0.102,0
0.103,0
0.104,0
0.105,0
0.106,0
0.107,0
0.108,0
0.109,0
0.11,0
0.111,0
0.112,0
0.113,0
0.114,0
0.115,0
0.116,0
0.117,0
0.118,0
0.119,0
0.12,0
0.121,0
0.122,0
0.123,0
0.124,0
0.125,0
0.126,0
0.127,0
0.128,0
0.129,0
0.13,0
0.131,0
0.132,0
0.133,0
0.134,0
0.135,0
0.136,0
0.137,0
0.138,0
0.139,0
0.14,0
0.141,0
0.142,0
0.143,0
0.144,0
0.145,0
0.146,0
0.147,0
0.148,0
0.149,0
0.15,0
0.151,0
0.152,0
0.153,0
0.154,0
0.155,0
0.156,0
0.157,0
0.158,0
0.159,0
0.16,0
0.161,0
0.162,0
0.163,0
0.164,0
0.165,0
0.166,0
0.167,0
0.168,0
0.169,0
0.17,0
0.171,0
0.172,0
0.173,0
0.174,0
0.175,0
0.176,0
0.177,0
0.178,0
0.179,0
0.18,0
0.181,0
0.182,0
0.183,0
0.184,0
0.185,0
0.186,0
0.187,0
0.188,0
0.189,0
0.19,0
0.191,0
0.192,0
0.193,0
0.194,0
0.195,0
0.196,0
0.197,0
0.198,0
0.199,0
0.2,0
0.201,0
0.202,0
0.203,0
0.204,6.46597e-09
0.205,1.4236e-07
0.206,4.00195e-07
0.207,7.07934e-07
0.208,1.06558e-06
0.209,1.47312e-06
0.21,1.93057e-06
0.211,2.46543e-06
0.212,3.1138e-06
0.213,3.82856e-06
0.214,4.60971e-06
0.215,5.45726e-06
0.216,6.37119e-06
0.217,7.35152e-06
0.218,8.39824e-06
0.219,9.51136e-06
0.22,1.06909e-05
0.221,1.19803e-05
0.222,1.33422e-05
0.223,1.47757e-05
0.224,1.62809e-05
0.225,1.78577e-05
0.226,1.95061e-05
0.227,2.12262e-05
0.228,2.3018e-05
0.229,2.48813e-05
0.23,2.68163e-05
0.231,2.8823e-05
0.232,3.09013e-05
0.233,3.30512e-05
0.234,3.52727e-05
0.235,3.75659e-05
0.236,3.99312e-05
0.237,4.23806e-05
0.238,4.4903e-05
0.239,4.74982e-05
0.24,5.01664e-05
0.241,5.29073e-05
0.242,5.57212e-05
0.243,5.86079e-05
0.244,6.15675e-05
0.245,6.46e-05
0.246,6.77054e-05
0.247,7.08836e-05
0.248,7.41347e-05
0.249,7.74587e-05
0.25,8.08555e-05
0.251,8.43252e-05
0.252,8.78678e-05
0.253,9.14833e-05
0.254,9.51717e-05
0.255,9.89329e-05
0.256,0.000102767
0.257,0.000106677
0.258,0.00011066
0.259,0.000114716
0.26,0.000118846
0.261,0.000123048
0.262,0.000127324
0.263,0.000131673
0.264,0.000136095
0.265,0.000140591
0.266,0.000145159
0.267,0.0001498
0.268,0.000154515
0.269,0.000159303
0.27,0.000164164
0.271,0.000169098
0.272,0.000174106
0.273,0.000179186
0.274,0.00018434
0.275,0.000189567
0.276,0.000194867
0.277,0.000200236
0.278,0.000205678
0.279,0.000211193
0.28,0.000216781
0.281,0.000222442
0.282,0.000228175
0.283,0.000233982
0.284,0.000239861
0.285,0.000245813
0.286,0.000251837
0.287,0.000257935
0.288,0.000264105
0.289,0.000270349
0.29,0.000276664
0.291,0.000283053
0.292,0.000289515
0.293,0.000296049
0.294,0.000302656
0.295,0.000309336
0.296,0.000316089
0.297,0.000322909
0.298,0.0003298
0.299,0.000336764
0.3,0.000343801
0.301,0.000350909
0.302,0.00035809
0.303,0.000365343
0.304,0.000372668
0.305,0.000380065
0.306,0.000387535
0.307,0.000395077
0.308,0.000402691
0.309,0.000410377
0.31,0.000418136
0.311,0.000425967
0.312,0.00043387
0.313,0.000441845
0.314,0.000449892
0.315,0.000458012
0.316,0.000466204
0.317,0.000474461
0.318,0.000482791
0.319,0.000491191
0.32,0.000499664
0.321,0.000508208
0.322,0.000516824
0.323,0.000525511
0.324,0.00053427
0.325,0.0005431
0.326,0.000552002
0.327,0.000560976
0.328,0.000570021
0.329,0.000579138
0.33,0.000588327
0.331,0.000597587
0.332,0.000606918
0.333,0.000616322
0.334,0.000625797
0.335,0.000635343
0.336,0.000644961
0.337,0.000654644
0.338,0.000664399
0.339,0.000674224
0.34,0.00068412
0.341,0.000694087
0.342,0.000704125
0.343,0.000714234
0.344,0.000724414
0.345,0.000734665
0.346,0.000744987
0.347,0.00075538
0.348,0.000765844
0.349,0.000776379
0.35,0.000786985
0.351,0.000797662
0.352,0.00080841
0.353,0.000819229
0.354,0.000830119
0.355,0.00084108
0.356,0.000852111
0.357,0.000863208
0.358,0.000874374
0.359,0.000885611
0.36,0.000896919
0.361,0.000908296
0.362,0.000919745
0.363,0.000931263
0.364,0.000942852
0.365,0.000954511
0.366,0.000966241
0.367,0.000978041
0.368,0.000989911
0.369,0.00100185
0.37,0.00101386
0.371,0.00102594
0.372,0.0010381
0.373,0.00105032
0.374,0.00106261
0.375,0.00107497
0.376,0.00108741
0.377,0.0010999
0.378,0.00111247
0.379,0.00112511
0.38,0.00113781
0.381,0.00115059
0.382,0.00116343
0.383,0.00117635
0.384,0.00118933
0.385,0.00120239
0.386,0.00121551
0.387,0.00122871
0.388,0.00124197
0.389,0.00125531
0.39,0.00126871
0.391,0.00128218
0.392,0.00129573
0.393,0.00130934
0.394,0.00132302
0.395,0.00133677
0.396,0.0013506
0.397,0.00136448
0.398,0.00137844
0.399,0.00139246
0.4,0.00140655
0.401,0.00142071
0.402,0.00143495
0.403,0.00144925
0.404,0.00146361
0.405,0.00147805
0.406,0.00149256
0.407,0.00150714
0.408,0.00152178
0.409,0.0015365
0.41,0.00155128
0.411,0.00156613
0.412,0.00158106
0.413,0.00159605
0.414,0.00161111
0.415,0.00162624
0.416,0.00164144
0.417,0.0016567
0.418,0.00167203
0.419,0.00168742
0.42,0.00170289
0.421,0.00171843
0.422,0.00173403
0.423,0.0017497
0.424,0.00176544
0.425,0.00178125
0.426,0.00179713
0.427,0.00181308
0.428,0.00182909
0.429,0.00184517
0.43,0.00186132
0.431,0.00187754
0.432,0.00189383
0.433,0.00191019
0.434,0.00192662
0.435,0.00194311
0.436,0.00195967
0.437,0.0019763
0.438,0.00199299
0.439,0.00200975
0.44,0.00202658
0.441,0.00204347
0.442,0.00206044
0.443,0.00207747
0.444,0.00209457
0.445,0.00211174
0.446,0.00212897
0.447,0.00214628
0.448,0.00216365
0.449,0.00218109
0.45,0.00219859
0.451,0.00221617
0.452,0.00223381
0.453,0.00225152
0.454,0.0022693
0.455,0.00228714
0.456,0.00230506
0.457,0.00232303
0.458,0.00234108
0.459,0.00235919
0.46,0.00237736
0.461,0.00239561
0.462,0.00241392
0.463,0.0024323
0.464,0.00245074
0.465,0.00246926
0.466,0.00248784
0.467,0.00250649
0.468,0.0025252
0.469,0.00254398
0.47,0.00256283
0.471,0.00258175
0.472,0.00260073
0.473,0.00261979
0.474,0.0026389
0.475,0.00265809
0.476,0.00267734
0.477,0.00269666
0.478,0.00271604
0.479,0.00273548
0.48,0.002755
0.481,0.00277458
0.482,0.00279422
0.483,0.00281394
0.484,0.00283372
0.485,0.00285356
0.486,0.00287348
0.487,0.00289346
0.488,0.0029135
0.489,0.00293362
0.49,0.0029538
0.491,0.00297404
0.492,0.00299436
